Detection ID,Path,Start Line Num,End Line Num,Code
1,./TargetProjects/beam/sdks/java/core/src/main/java/org/apache/beam/sdk/testing/CoderProperties.java,147,,"      assertThat(result, containsInAnyOrder((T[]) value.toArray()));"
2,./TargetProjects/beam/sdks/java/core/src/main/java/org/apache/beam/sdk/testing/PAssert.java,1608,,"      this((T[]) expected.toArray());"
3,./TargetProjects/beam/sdks/java/core/src/main/java/org/apache/beam/sdk/testing/SerializableMatchers.java,489,,"    T[] items = (T[]) collection.toArray();"
4,./TargetProjects/calcite/core/src/main/java/org/apache/calcite/runtime/SortedMultiMap.java,57,,"        final V[] vs = (V[]) list.toArray();"
5,./TargetProjects/commons-beanutils/src/test/java/org/apache/commons/beanutils2/LazyDynaListTestCase.java,194,,"        TreeMap<?, ?>[]  mapArray  = (TreeMap[])lazyList.toArray();"
6,./TargetProjects/commons-beanutils/src/test/java/org/apache/commons/beanutils2/LazyDynaListTestCase.java,209,,"        mapArray  = (TreeMap[])lazyList.toArray();"
7,./TargetProjects/commons-collections/src/test/java/org/apache/commons/collections4/collection/AbstractCollectionTest.java,392,,"            return (E[]) list.toArray();"
8,./TargetProjects/commons-collections/src/test/java/org/apache/commons/collections4/list/AbstractListTest.java,92,,"        final E[] array = (E[]) list1.toArray();"
9,./TargetProjects/commons-collections/src/test/java/org/apache/commons/collections4/map/AbstractOrderedMapTest.java,82,,"        return (K[]) list.toArray();"
10,./TargetProjects/commons-collections/src/test/java/org/apache/commons/collections4/map/AbstractSortedMapTest.java,153,,"            return (K[]) subSortedKeys.toArray();"
11,./TargetProjects/commons-collections/src/test/java/org/apache/commons/collections4/map/AbstractSortedMapTest.java,158,,"            return (V[]) subSortedValues.toArray();"
12,./TargetProjects/commons-collections/src/test/java/org/apache/commons/collections4/map/AbstractSortedMapTest.java,163,,"            return (V[]) subSortedNewValues.toArray();"
13,./TargetProjects/directory-ldap-api/ldap/model/src/main/java/org/apache/directory/api/ldap/model/cursor/SetCursor.java,83,,"        this.set = ( E[] ) set.toArray();"
14,./TargetProjects/druid/processing/src/test/java/org/apache/druid/collections/TestIntegerSet.java,206,,"      Set<Integer> set = Sets.newHashSet((Integer[]) integerSet.toArray());"
15,./TargetProjects/geronimo/framework/modules/geronimo-shell-base/src/main/java/org/apache/geronimo/shell/deploy/ListModulesCommand.java,57,,"                : (String[]) targets.toArray()), all, started, stopped);"
16,./TargetProjects/hadoop/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapred/lib/InputSampler.java,117,,"      return (K[])samples.toArray();"
17,./TargetProjects/hadoop/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapred/lib/InputSampler.java,204,,"      return (K[])samples.toArray();"
