Detection ID,Path,Start Line Num,End Line Num,Code
33,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/hicc/DatasetMapper.java,194,,"          log.debug(ExceptionUtil.getStackTrace(sqlEx));"
34,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/hicc/DatasetMapper.java,202,,"          log.debug(ExceptionUtil.getStackTrace(sqlEx));"
35,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/hicc/DatasetMapper.java,210,,"          log.debug(ExceptionUtil.getStackTrace(sqlEx));"
36,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/hicc/HiccWebServer.java,196,,"      log.error(ExceptionUtil.getStackTrace(ex));"
37,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/hicc/HiccWebServer.java,198,,"      log.error(ExceptionUtil.getStackTrace(ex));      "
38,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/hicc/HiccWebServer.java,210,,"      log.error(ExceptionUtil.getStackTrace(e));"
39,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/hicc/HiccWebServer.java,218,,"      log.error(ExceptionUtil.getStackTrace(e));"
40,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/hicc/ImageSlicer.java,142,,"        log.error(ExceptionUtil.getStackTrace(e));"
41,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/hicc/ImageSlicer.java,183,,"      log.error(ExceptionUtil.getStackTrace(e));"
42,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/hicc/Views.java,74,,"      log.debug(ExceptionUtil.getStackTrace(e));"
43,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/hicc/Views.java,84,,"      log.debug(ExceptionUtil.getStackTrace(e));"
44,./TargetProjects/chukwa/core/src/main/java/org/apache/hadoop/chukwa/hicc/Views.java,95,,"      log.debug(ExceptionUtil.getStackTrace(e));"
