Pattern ID,Pattern,Context,"# of Eq list","# of Frq",complexity,Num of Warnings in Method,NCL
1,synchronized (((EntityInternal)s.subscriber).getManagementSupport()) {},"synchronized (((EntityInternal)s.subscriber).getManagementSupport()) {
}
",0,25,4,41,"SimpleName(SimpleType-name, CastExpression-type, ParenthesizedExpression-expression, MethodInvocation-expression, SynchronizedStatement-expression, ),
QualifiedName(CastExpression-expression, ParenthesizedExpression-expression, MethodInvocation-expression, SynchronizedStatement-expression, ),
SimpleName(MethodInvocation-name, SynchronizedStatement-expression, ),
Block(SynchronizedStatement-body, ),
"
2,synchronized (ClassPathProviderImplTest.this) {,"synchronized (ClassPathProviderImplTest.this) {
}
",0,0,1,,"SimpleName(ThisExpression-qualifier, SynchronizedStatement-expression, ),
"
3,synchronized (new Object()) {},"synchronized (new Object()) {
}
",3,3,2,,"SimpleName(SimpleType-name, ClassInstanceCreation-type, SynchronizedStatement-expression, ),
Block(SynchronizedStatement-body, ),
"
4,synchronized (this) {,"synchronized (this) {
}
",9,9,1,,"ThisExpression(SynchronizedStatement-expression, ),
"
